,genres,keywords,tagline,cast,director,title,release_date,index
589,Horror Action Drama Fantasy War,vampire dracula bite battle 15th century,Every bloodline has a beginning,Luke Evans Sarah Gadon Dominic Cooper Art Parkinson Charles Dance,Gary Shore,Dracula Untold,2014-10-01,589
590,Drama Action Thriller Crime,islam muslim car bomb fbi agent,On November 6th our freedom is history,Denzel Washington Annette Bening Bruce Willis Tony Shalhoub Sami Bouajila,Edward Zwick,The Siege,1998-11-06,590
591,Adventure Fantasy Romance Family,witch based on novel new love prince beauty,This Summer A Star Falls. The Chase Begins.,Claire Danes Charlie Cox Michelle Pfeiffer Robert De Niro Sienna Miller,Matthew Vaughn,Stardust,2007-08-09,591
592,Adventure Drama History,buddhism himalaya austria mountains buddhist monk,At the end of the world his real journey began.,Brad Pitt Jamyang Jamtsho Wangchuk David Thewlis BD Wong Mako,Jean-Jacques Annaud,Seven Years in Tibet,1997-09-12,592
593,Comedy Drama,adultery infidelity secret investigation friendship,Two best friends. Nothing could come between them... or could it?,Kevin James Vince Vaughn Winona Ryder Jennifer Connelly Queen Latifah,Ron Howard,The Dilemma,2011-01-13,593
594,Action Adventure Comedy Thriller,ambush cia assassin nightclub hustler,Two Mismatched Partners. One Messed Up Case!,Anthony Hopkins Chris Rock Peter Stormare Gabriel Macht Kerry Washington,Joel Schumacher,Bad Company,2002-06-07,594
595,Adventure Action Horror,teleportation based on video game severed ear future war wisecrack humor,No one gets out alive.,Dwayne Johnson Karl Urban Rosamund Pike Ben Daniels Deobia Oparei,Andrzej Bartkowiak,Doom,2005-10-20,595
596,Action Adventure Comedy Thriller,budapest kidnapping boxer secret agent liberation of hostage,Attitude meets espionage.,Eddie Murphy Owen Wilson Famke Janssen Keith Dallas Malcolm McDowell,Betty Thomas,I Spy,2002-10-31,596
597,Fantasy Action Horror,vampire daughter hybrid child vampire werewolf,Vengeance Returns,Kate Beckinsale Stephen Rea Michael Ealy Theo James India Eisley,M\u00e5ns M\u00e5rlind,Underworld: Awakening,2012-01-19,597
598,Comedy Drama Music Romance,musical rocker teenager young love rock sta,Nothin' but a good time,Julianne Hough Diego Boneta Tom Cruise Alec Baldwin Russell Brand,Adam Shankman,Rock of Ages,2012-06-13,598
599,Drama War,black people world war ii prisoners of war u.s. army war,"Beyond Courage, Beyond Honor.",Bruce Willis Colin Farrell Terrence Howard Marcel Iure\u0219 Cole Hauser,Gregory Hoblit,Hart's War,2002-02-15,599
600,Action Adventure Thriller,rescue,May the best man live.,Jason Statham Clive Owen Robert De Niro Dominic Purcell Yvonne Strahovski,Gary McKendry,Killer Elite,2011-09-23,600
601,Action Science Fiction Thriller,manager arena dystopia wrestling sport,Go Ballistic,Chris Klein LL Cool J Rebecca Romijn Naveen Andrews Jean Reno,John McTiernan,Rollerball,2002-02-08,601
602,Action Adventure Thriller,loss of family enemy adversary agent,,Antonio Banderas Lucy Liu Gregg Henry Ray Park Talisa Soto,Wych Kaosayananda,Ballistic: Ecks vs. Sever,2002-09-20,602
603,Thriller,sheriff rain evacuation armored car crook,"In the worst storm in living memory, one guard stands between five men and three million dollars.",Morgan Freeman Christian Slater Randy Quaid Minnie Driver Ed Asner,Mikael Salomon,Hard Rain,1998-01-16,603
604,Adventure Animation Action Comedy Family,cold flu lethal virus construction worker,Every BODY needs a hero,Chris Rock Laurence Fishburne David Hyde Pierce Brandy Norwood Bill Murray,Bobby Farrelly,Osmosis Jones,2001-08-07,604
605,Animation Music Family,,There's trouble in OZ...,Lea Michele Dan Aykroyd Patrick Stewart Hugh Dancy Jim Belushi,Dan St. Pierre,Legends of Oz: Dorothy's Return,2013-06-13,605
606,Crime Drama Mystery,terrorist technology anti hero hacker computer virus,We are no longer in control.,Chris Hemsworth Leehom Wang Tang Wei Viola Davis Holt McCallany,Michael Mann,Blackhat,2015-01-13,606
607,Mystery Action Thriller Science Fiction Adventure,london england himalaya journalist killer robot computer war,Who will save us?,Jude Law Gwyneth Paltrow Giovanni Ribisi Angelina Jolie Bai Ling,Kerry Conran,Sky Captain and the World of Tomorrow,2004-09-17,607
608,Crime Mystery Thriller,male nudity sex legs soho london playing god,Everything interesting begins in the mind,Sharon Stone David Morrissey Charlotte Rampling David Thewlis Stan Collymore,Michael Caton-Jones,Basic Instinct 2,2006-03-29,608
609,Action Thriller,prison muslim ship mystery science fiction,No one breaks out alone.,Sylvester Stallone Arnold Schwarzenegger Jim Caviezel Vinnie Jones 50 Cent,Mikael H\u00e5fstr\u00f6m,Escape Plan,2013-10-09,609
610,Action Adventure,mythology zeus ancient greece demigod city of argos,Every Man Has a Destiny,Kellan Lutz Liam McIntyre Gaia Weiss Scott Adkins Roxanne McKee,Renny Harlin,The Legend of Hercules,2014-01-10,610
611,Thriller Action Drama,cia terrorist atomic bomb cold war nuclear explosion,"27,000 nuclear weapons. One is missing.",Ben Affleck Morgan Freeman James Cromwell Ken Jenkins Liev Schreiber,Phil Alden Robinson,The Sum of All Fears,2002-05-31,611
612,Adventure Fantasy Drama Romance,vampire graduation bite immortality werewolf,It all begins ... With a choice.,Kristen Stewart Robert Pattinson Taylor Lautner Ashley Greene Peter Facinelli,David Slade,The Twilight Saga: Eclipse,2010-06-23,612
613,Action Crime Thriller,quebec jewel scepter customs house jewelry heist,There are no partners in crime,Robert De Niro Edward Norton Marlon Brando Angela Bassett Paul Soles,Frank Oz,The Score,2001-07-13,613
614,Animation Family,adoptive father orphanage life's dream rivalry stealing,Superbad. Superdad.,Steve Carell Jason Segel Russell Brand Julie Andrews Will Arnett,Pierre Coffin,Despicable Me,2010-07-08,614
615,Action Comedy Crime,brother brother relationship subway new york city new york subway train robbery,"Get on, or GET OUT THE WAY!",Wesley Snipes Woody Harrelson Jennifer Lopez Robert Blake Chris Cooper,Joseph Ruben,Money Train,1995-11-21,615
616,Comedy,sperm bank sequel buddy courthouse teddy bear,"Ted is Coming, Again.",Mark Wahlberg Seth MacFarlane Amanda Seyfried Jessica Barth Giovanni Ribisi,Seth MacFarlane,Ted 2,2015-06-25,616
617,Adventure Drama History,christianity philosophy egypt new love war,"Alexandria, Egypt. 391 A.D. The World Changed Forever.",Rachel Weisz Max Minghella Oscar Isaac Ashraf Barhom Michael Lonsdale,Alejandro Amen\u00e1bar,Agora,2009-05-17,617
618,Adventure Fantasy Action Comedy Science Fiction,bowling hostage sphinx training insane asylum,"We're not your classic heroes, we're the other guys.",Ben Stiller Geoffrey Rush Claire Forlani William H. Macy Hank Azaria,Kinka Usher,Mystery Men,1999-08-06,618
619,Comedy,wife husband relationship daydream marriage freedom friends,"One Week, No Rules",Owen Wilson Jason Sudeikis Jenna Fischer Christina Applegate Nicky Whelan,Bobby Farrelly,Hall Pass,2011-02-25,619
620,Drama Thriller,spy newspaper research interview tobacco,Two men driven to tell the truth... whatever the cost.,Al Pacino Russell Crowe Christopher Plummer Diane Venora Bruce McGill,Michael Mann,The Insider,1999-10-28,620
621,Action Drama History Thriller,coast guard based on true story survival rescue mission storm at sea,"32 survivors, room for 12.",Chris Pine Casey Affleck Ben Foster Eric Bana Holliday Grainger,Craig Gillespie,The Finest Hours,2016-01-25,621
622,Action Drama Thriller,terror falsely accused based on novel dying and death jordan,Trust no one. Deceive everyone.,Leonardo DiCaprio Russell Crowe Mark Strong Ali Suliman Simon McBurney,Ridley Scott,Body of Lies,2008-10-10,622
623,Comedy,mouse idiot mind control taxidermy aftercreditsstinger,Takes One To Know One.,Steve Carell Paul Rudd Stephanie Szostak Jemaine Clement Zach Galifianakis,Jay Roach,Dinner for Schmucks,2010-07-30,623
624,Action Fantasy Horror,usa president vampire steam locomotive american civil war 19th century,Are you a patriot or a vampire?,Benjamin Walker Dominic Cooper Anthony Mackie Mary Elizabeth Winstead Rufus Sewell,Timur Bekmambetov,Abraham Lincoln: Vampire Hunter,2012-06-20,624
625,Romance Drama Mystery,london england new year's eve skyscraper burglar distrust,The trap is set.,Sean Connery Catherine Zeta-Jones Will Patton Maury Chaykin Ving Rhames,Jon Amiel,Entrapment,1999-04-29,625
626,Mystery Science Fiction Thriller,bomb helicopter secret obsession extraterrestrial technology,Fight the Future,David Duchovny Gillian Anderson Mitch Pileggi William B. Davis John Neville,Rob Bowman,The X Files,1998-06-19,626
627,Action Adventure Fantasy War,roman empire emperor ancient rome western roman empire ancient world,The end of an empire...the beginning of a legend.,Colin Firth Ben Kingsley Aishwarya Rai Bachchan Peter Mullan Kevin McKidd,Doug Lefler,The Last Legion,2007-04-19,627
628,Drama History War,war crimes self sacrifice war veteran world war ii war ship,The mission is a man.,Tom Hanks Matt Damon Vin Diesel Tom Sizemore Barry Pepper,Steven Spielberg,Saving Private Ryan,1998-07-24,628
629,Action Crime Drama Thriller,street race super cars super speed car based on video game,For honor. For love. For redemption.,Aaron Paul Dominic Cooper Imogen Poots Rami Malek Ram\u00f3n Rodr\u00edguez,Scott Waugh,Need for Speed,2014-03-13,629
630,Comedy Romance,women telepathy supernatural powers advertising executive woman director,He has the power to hear everything women are thinking. Finally... a man is listening.,Helen Hunt Mel Gibson Marisa Tomei Lauren Holly Mark Feuerstein,Nancy Meyers,What Women Want,2000-12-15,630
631,Animation Comedy Family Adventure,human evolution parents kids relationship squirrel ice loss of child,They came. They thawed. They conquered.,Ray Romano John Leguizamo Denis Leary Goran Visnjic Jack Black,Chris Wedge,Ice Age,2002-03-10,631
632,Drama Horror Science Fiction Thriller,religion and supernatural,A circle of friendship. A web of mystery. A pattern of fear.,Morgan Freeman Thomas Jane Jason Lee Damian Lewis Timothy Olyphant,Lawrence Kasdan,Dreamcatcher,2003-03-21,632
633,History Drama,usa president speech battlefield family conflict mourning,"With the moral courage and fierce determination to succeed, his choices will change the fate of generations to come.",Daniel Day-Lewis Sally Field David Strathairn Joseph Gordon-Levitt James Spader,Steven Spielberg,Lincoln,2012-11-09,633
634,Action Science Fiction,saving the world artificial intelligence man vs machine philosophy prophecy,Welcome to the Real World.,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Gloria Foster,Lilly Wachowski,The Matrix,1999-03-30,634
635,Drama,moon florida nasa spaceman race against time,"Houston, we have a problem.",Tom Hanks Bill Paxton Kevin Bacon Gary Sinise Ed Harris,Ron Howard,Apollo 13,1995-06-30,635
636,Fantasy Comedy Family,holiday christmas party home santa claus magic,What's Christmas Fun without some Reindeer Games?,Tim Allen Elizabeth Mitchell David Krumholtz Eric Lloyd Spencer Breslin,Michael Lembeck,The Santa Clause 2,2002-10-31,636
637,Drama Music Romance,france robbery brothel mayor star,Fight. Dream. Hope. Love.,Hugh Jackman Russell Crowe Anne Hathaway Amanda Seyfried Sacha Baron Cohen,Tom Hooper,Les Misérables,2012-12-18,637
638,Comedy Romance,romantic comedy online dating woman director,Someone you pass on the street may already be the love of your life.,Tom Hanks Meg Ryan Katie Sagona Greg Kinnear Parker Posey,Nora Ephron,You've Got Mail,1998-12-17,638
639,Comedy,becoming an adult autonomy childhood trauma hostility step brother,They grow up so fast.,Will Ferrell John C. Reilly Mary Steenburgen Richard Jenkins Adam Scott,Adam McKay,Step Brothers,2008-07-25,639
640,Action Adventure,california spy hero horseback riding sword fight,No one has seen his face... but everyone ... knows this mark.,Antonio Banderas Anthony Hopkins Catherine Zeta-Jones Stuart Wilson Diego Sieres,Martin Campbell,The Mask of Zorro,1998-07-16,640
641,Comedy Drama,highway slacker hitchhiker wallet sunglasses,Leave Your Comfort Zone,Robert Downey Jr. Zach Galifianakis Michelle Monaghan Jamie Foxx Juliette Lewis,Todd Phillips,Due Date,2010-11-04,641
642,Drama War,world war ii prisoners of war biography sport war,Survival. Resilience. Redemption.,Jack O'Connell Domhnall Gleeson Garrett Hedlund Miyavi Finn Wittrock,Angelina Jolie,Unbroken,2014-12-25,642
643,Action Adventure Thriller,nasa space travel astronaut elderly,Space will never be the same.,Clint Eastwood Tommy Lee Jones Donald Sutherland James Garner James Cromwell,Clint Eastwood,Space Cowboys,2000-07-31,643
644,Action Adventure Thriller,rocky mountains airplane hijacking suitcase climbing,The height of adventure.,Sylvester Stallone John Lithgow Michael Rooker Janine Turner Rex Linn,Renny Harlin,Cliffhanger,1993-05-28,644
645,Action Adventure Drama Thriller,helicopter river captain underground mexican standoff,Prepare to Go Ballistic.,John Travolta Christian Slater Samantha Mathis Delroy Lindo Bob Gunton,John Woo,Broken Arrow,1996-02-09,645
646,Fantasy Comedy Family,age difference midlife crisis suppressed past self-awareness childhood memory,Nobody ever grows up quite like they imagined.,Bruce Willis Spencer Breslin Emily Mortimer Lily Tomlin Chi McBride,Jon Turteltaub,The Kid,2000-07-07,646
647,Drama History Thriller,terror runaway alarm clock hero firemen,The world saw evil that day. Two men saw something else.,Nicolas Cage Maria Bello Maggie Gyllenhaal Michael Pe\u00f1a Jay Hernandez,Oliver Stone,World Trade Center,2006-08-09,647
648,Drama Romance,faculty art history rowing school nurse femininity,"In a world that told them how to think, she showed them how to live.",Julia Roberts Kirsten Dunst Julia Stiles Maggie Gyllenhaal Ginnifer Goodwin,Mike Newell,Mona Lisa Smile,2003-12-19,648
649,Comedy,kurdish,kurd,Sacha Baron Cohen Sayed Badreya Aasif Mandvi Megan Fox Anna Faris,Larry Charles,The Dictator,2012-05-15,649
650,Mystery Drama,life and death sexual obsession free love heterosexual christmas party,Cruise. Kidman. Kubrick.,Tom Cruise Nicole Kidman Madison Eginton Jackie Sawiris Sydney Pollack,Stanley Kubrick,Eyes Wide Shut,1999-07-14,650
651,Comedy Drama Family,musical orphan foster child,It's a Hard Knock Life,Quvenzhan\u00e9 Wallis Jamie Foxx Rose Byrne Cameron Diaz Bobby Cannavale,Will Gluck,Annie,2014-12-19,651
652,Romance Comedy Crime Drama,seduction con man femme fatale deception rivalry,Never Drop The Con.,Will Smith Margot Robbie Rodrigo Santoro Robert Taylor Gerald McRaney,Glenn Ficarra,Focus,2015-02-25,652
653,Action Comedy Romance,love triangle friendship dating sushi bar exploding airplane,It's SPY Against SPY,Reese Witherspoon Chris Pine Tom Hardy Laura Vandervoort Angela Bassett,McG,This Means War,2012-02-14,653
654,Science Fiction Action Horror Thriller Adventure,fbi dracula fistfight vampire hunter superhero,The final hunt begins.,Wesley Snipes Kris Kristofferson Dominic Purcell Jessica Biel Ryan Reynolds,David S. Goyer,Blade: Trinity,2004-12-08,654
655,Action Thriller,guerrilla colorado invasion anti-communism near future,,Patrick Swayze C. Thomas Howell Lea Thompson Darren Dalton Charlie Sheen,John Milius,Red Dawn,1984-08-10,655
656,Comedy Drama,white house usa president presidential election scandal george w. bush,What went down on the way to the top.,John Travolta Emma Thompson Billy Bob Thornton Kathy Bates Adrian Lester,Mike Nichols,Primary Colors,1998-03-20,656
657,Action Horror Science Fiction,mutant dystopia sequel conspiracy tokyo japan,The Ultimate Battle Begins,Milla Jovovich Sienna Guillory Michelle Rodriguez Aryana Engineer Li Bingbing,Paul W.S. Anderson,Resident Evil: Retribution,2012-09-12,657
658,Action Thriller Science Fiction,car race dystopia matter of life and death prison guard car set on fire,Get ready for a killer race.,Jason Statham Joan Allen Ian McShane Tyrese Gibson Natalie Martinez,Paul W.S. Anderson,Death Race,2008-08-22,658
